,screen_name,description,follower,following
0,AdithJace,I am web developer web designer UI inspirations,2,12
1,mechackmadeit,"Personal Blog/
Proudly Rwandaise🇷 🇼 
IG:@mechackmadeit
SC:@iammechackrw 𝘮𝘦𝘤𝘬𝘮𝘶𝘯𝘦𝘻𝘻𝘰@𝘨𝘮𝘢𝘪𝘭.𝘤𝘰𝘮📍🇷🇼
#TeamPK",398,4346
2,gigworke,"GiGworke is a global network of top freelance talent in technology,design and business that provides businesses with specialized top talent, on demand",185,1233
3,ClementineMuka5,"Office assistant  at @sparkorg Entrepreneur
passionate with social change @jcirwanda member& JCI Rubavu president
https://t.co/sIb1W1jLmj
#YCTPRWANDA #YWEF",686,4813
4,xclusiveassura1,We are a company that was founded in October 2011 that assists businesses in ensuring the safety of their employees while they are on the field in sectors such,1,2
5,Theo8Iradukunda,,17,42
6,SAFARIEric_,"Please ,be able to be competitive now",70,435
7,Burende2,Ubujyiri vol_1  coming soon...,96,483
8,adana_250,Grounded to learn. Politics don’t rule mind but education does and love holds both. Follow me on IG: adana_250,173,196
9,mistasms,This  is a self-service & Full options bulk SMS Platform that enable individuals & enterprises to send/receive sms online + an Integration ability.,0,59
10,nizeyimanadieu1,,160,1988
11,migarich,Businesso transformation Expert with special interest in e-Government systems.Founder @evolve_limited PM @umucyo_gov_rw. Grateful to be making impact,367,572
12,talentmatchinc,Training youth to be agile leaders through real-life problem solving and practice. #Skills2Succeed,135,394
13,NiyitegekaBenj3,Doing business in any way of changing people's lives is the key.......... Infinite learner,35,350
14,ida_ingabire,,98,539
15,KelvinOdoobo,"CEO & Founder @Shambapro. Passionate about helping farmers start & run profitable, sustainable farm businesses. Agriprenuer. Proudly East African.",533,1437
16,Ivanmulisa,work for tomorrow,20,261
17,SAFESANA1,Hardware company in our mission is to deliver Lpgas Households secure cooking solutions by using remotely control devices.,49,67
18,muglarkin,,0,34
19,KiraMoses3,✍️transparency Activist 🇷🇼,26,276
20,Abouba21,Ramadan Kareem 🌙 ⭐️,851,2804
21,Aquasafi_Rw,"Aquasafi is a startup company that help you to monitor your water quality anyway, anytime.",156,533
22,fitcoderness,"🔁 {Eat-Move-Code-Move-Sleep}| The community of sharing for Coders: fitness tips, #jobOpps, quotes, good vibes & ++. Welcome  🙋‍♀️🙋‍♂️↗️ 🔽. ||By @amedajibola",1311,4989
23,JKageruka,Hope For An African Dream,44,216
24,Sandra59816885,Financial analysis,46,204
25,Denyse33318671,,9,18
26,MuvunyiNicolas,,13,141
27,gasyl_,Rwandan 🇷🇼|CS Eng.| Sophophile,388,690
28,GUwizera,Entrepreneur ※ Textile & Fashion designer ※ Christian believer,300,956
29,Verena_Lenzen,"Analytics consultant passionate about sustainability - world citizen, entrepreneur and mathematician",79,258
30,KarangwaMikee,Life is just a chance to grow a soul.💧🌠🤞 Rest easy #24 & 8🏀❤🙏,520,501
31,Hamahamwe_,"♑Rastafari not a culture, it’s a reality.

#RwOT
#blacklivesmatter
#katubikorenkabirabura✊🏿",378,551
32,ShemaBryan,"MC BRIAN Ⓜ©🅱🎤
●Professional, Passionate &Talented MULTI-EVENTS M.C/HOST
■For Bookings:📧
shemabrn@gmail.com□📞0783757815□📲DM
□Impossible wasn't made for me✊",834,671
33,ai_shaka,SHAKA AI strives to become the first Innovation center in Africa working directly with companies globally to provide AI software development for our partners..,19,7
34,carine_semwaga,"If you can't help #them, atleast don't hurt #them",185,34
35,ShemaThierry,Auditor,60,576
36,RobertNIYIRORA,"Co-Founder @Lineappsltd, KuickAd & @edecongroup ,Focused on lean Startup, user happiness, transparency & company culture. I'm always learning and love to help.",568,1225
37,LoritaMpore,Created on Purpose for Purpose. Sometimes we could always use a little magic – don’t hide the magic within you,278,708
38,Fidelis28117418,makatacashpoints,4,97
39,ShyakaEmmanue20,Blessings!!!,882,4997
40,NIYONZIMAPierr3,"Electrical and Electronics Engineer.
Embedded system programmer, 
IoT Engineer,
3D designer,
Motivation speaker,
Founder and CEO at SAFESANA ltd",48,88
41,AgnesKubwimana,"Be remembered for the hearts you touched, the lives you inspired, the people you loved,the wisdom you shared",56,299
42,MChristian_00,,4,8
43,Bi_Eliza,crazy in ♡ with Jesus| #Technology #Telecommunication #VAS #innovation #Leadership #PROJECTMANAGEMENT|,451,767
44,itsUk45,Software | Startup | Security | @netyourself | community lead @gdg Juba,84,611
45,fabricestunner,IT Consultant @rgconsultinc @rgticketsrw,227,234
46,antale,"Entrepreneur, Startup Mentor & Advisor, aspiring Investor. Affiliations - @rwictchamber @klabrw @fablabrw @leaprlabs @startups250 @ibs_rwanda & @shoraventures",5837,2866
47,TadhimU,,314,297
48,Alynmutoni1,"Rwandan, Jesus follower |investments|innovation|entrepreneur |Music for the soul ...",52,351
49,farmpalrw,"FarmPal is a digital agriculture platform linking farmers and micro-investors. #BeAFarm_Pal 🤗||
Email: management@farmpalrw.com",218,290
50,Tonnymika,,44,47
51,Semafara1,Technology,71,239
52,izerimana_isair,"Izerimana Isaire,
Rwandan,
23years old,
High school certificate in literature, baker and video maker
in addition; i am job seeker",176,1222
53,Anabella_TY,"In Christ alone,my faith will stand.",64,411
54,Mutatsineza1,,60,68
55,MujyanamaC,Good collaboration with others,47,621
56,dive_into_code,プロのエンジニアになるために挑戦する人が、チャンスをつかめるプログラミングスクール DIVE INTO CODE 公式アカウントです💻 DM受付中です！,1214,1025
57,FSaxeena,Leo sign,50,114
